"Statistic Label","Year","Type of Hospital","ICD 10 Diagnostic Group","UNIT","VALUE"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Organic mental disorders","Number","1"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Schizophrenia, schizotypal and delusional disorders","Number","68"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Depressive disorders","Number","3"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Mania","Number","4"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Neuroses","Number","1"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Personality and behavioural disorders","Number","2"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Alcoholic disorders","Number","2"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Other drug disorders","Number","1"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Intellectual disability","Number","1"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Development disorders","Number","1"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Other and unspecified","Number","9"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","All disorders","Number","93"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Organic mental disorders","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Schizophrenia, schizotypal and delusional disorders","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Depressive disorders","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Mania","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Neuroses","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Personality and behavioural disorders","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Alcoholic disorders","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Intellectual disability","Number","128"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Other and unspecified","Number","2"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","All disorders","Number","130"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Organic mental disorders","Number","2"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Schizophrenia, schizotypal and delusional disorders","Number","16"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Depressive disorders","Number","5"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Mania","Number","7"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Neuroses","Number","1"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Personality and behavioural disorders","Number","4"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Alcoholic disorders","Number","0"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Intellectual disability","Number","1"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Other and unspecified","Number","0"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","All disorders","Number","36"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Organic mental disorders","Number","257"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Schizophrenia, schizotypal and delusional disorders","Number","751"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Depressive disorders","Number","397"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Mania","Number","199"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Neuroses","Number","85"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Personality and behavioural disorders","Number","68"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Alcoholic disorders","Number","72"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Other drug disorders","Number","27"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Eating disorders","Number","19"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Intellectual disability","Number","161"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Development disorders","Number","4"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Other and unspecified","Number","361"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","All disorders","Number","2401"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Organic mental disorders","Number","21"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Schizophrenia, schizotypal and delusional disorders","Number","246"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Depressive disorders","Number","160"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Mania","Number","81"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Neuroses","Number","36"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Personality and behavioural disorders","Number","32"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Alcoholic disorders","Number","19"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Other drug disorders","Number","17"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Eating disorders","Number","7"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Intellectual disability","Number","1"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Other and unspecified","Number","98"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","All disorders","Number","718"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Organic mental disorders","Number","132"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Schizophrenia, schizotypal and delusional disorders","Number","355"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Depressive disorders","Number","93"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Mania","Number","57"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Neuroses","Number","15"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Personality and behavioural disorders","Number","20"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Alcoholic disorders","Number","16"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Other drug disorders","Number","4"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Eating disorders","Number","1"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Intellectual disability","Number","29"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Development disorders","Number","2"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Other and unspecified","Number","126"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","All disorders","Number","850"
"Psychiatric In-patients (Number)","2013","Private hospitals","Organic mental disorders","Number","101"
"Psychiatric In-patients (Number)","2013","Private hospitals","Schizophrenia, schizotypal and delusional disorders","Number","66"
"Psychiatric In-patients (Number)","2013","Private hospitals","Depressive disorders","Number","136"
"Psychiatric In-patients (Number)","2013","Private hospitals","Mania","Number","50"
"Psychiatric In-patients (Number)","2013","Private hospitals","Neuroses","Number","32"
"Psychiatric In-patients (Number)","2013","Private hospitals","Personality and behavioural disorders","Number","10"
"Psychiatric In-patients (Number)","2013","Private hospitals","Alcoholic disorders","Number","35"
"Psychiatric In-patients (Number)","2013","Private hospitals","Other drug disorders","Number","5"
"Psychiatric In-patients (Number)","2013","Private hospitals","Eating disorders","Number","11"
"Psychiatric In-patients (Number)","2013","Private hospitals","Intellectual disability","Number","1"
"Psychiatric In-patients (Number)","2013","Private hospitals","Development disorders","Number","1"
"Psychiatric In-patients (Number)","2013","Private hospitals","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2013","Private hospitals","Other and unspecified","Number","126"
"Psychiatric In-patients (Number)","2013","Private hospitals","All disorders","Number","574"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Organic mental disorders","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Schizophrenia, schizotypal and delusional disorders","Number","71"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Depressive disorders","Number","3"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Mania","Number","6"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Neuroses","Number","1"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Personality and behavioural disorders","Number","3"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Alcoholic disorders","Number","1"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Intellectual disability","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Development disorders","Number","4"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Other and unspecified","Number","8"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","All disorders","Number","97"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Organic mental disorders","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Schizophrenia, schizotypal and delusional disorders","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Depressive disorders","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Mania","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Neuroses","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Personality and behavioural disorders","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Alcoholic disorders","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Intellectual disability","Number","98"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Other and unspecified","Number","5"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","All disorders","Number","103"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Organic mental disorders","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Schizophrenia, schizotypal and delusional disorders","Number","8"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Depressive disorders","Number","5"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Mania","Number","4"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Neuroses","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Personality and behavioural disorders","Number","3"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Alcoholic disorders","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Intellectual disability","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Other and unspecified","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","All disorders","Number","20"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Organic mental disorders","Number","278"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Schizophrenia, schizotypal and delusional disorders","Number","775"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Depressive disorders","Number","397"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Mania","Number","195"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Neuroses","Number","95"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Personality and behavioural disorders","Number","79"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Alcoholic disorders","Number","75"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Other drug disorders","Number","31"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Eating disorders","Number","15"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Intellectual disability","Number","122"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Development disorders","Number","6"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Other and unspecified","Number","340"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","All disorders","Number","2408"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Organic mental disorders","Number","33"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Schizophrenia, schizotypal and delusional disorders","Number","251"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Depressive disorders","Number","162"
