"Statistic Label","Year","Type of Hospital","Socio Economic Group","UNIT","VALUE"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Farmers","Number","0"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Higher professional","Number","0"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Lower professional","Number","0"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Non-manual","Number","0"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Semi-skilled","Number","12"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Unskilled","Number","0"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","Unspecified","Number","81"
"Psychiatric In-patients (Number)","2013","Central Mental Hospital, Dublin","All socio-economic groups","Number","93"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Farmers","Number","2"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Higher professional","Number","3"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Lower professional","Number","1"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Non-manual","Number","13"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Manual skilled","Number","2"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Semi-skilled","Number","0"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Unskilled","Number","2"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","Unspecified","Number","107"
"Psychiatric In-patients (Number)","2013","St Joseph's Intellectual Disability Service","All socio-economic groups","Number","130"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Farmers","Number","5"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Higher professional","Number","2"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Lower professional","Number","1"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Non-manual","Number","10"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Manual skilled","Number","2"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Semi-skilled","Number","4"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Unskilled","Number","12"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","Unspecified","Number","0"
"Psychiatric In-patients (Number)","2013","Carraig Mór, Cork","All socio-economic groups","Number","36"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Farmers","Number","96"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Agricultural workers","Number","20"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Higher professional","Number","71"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Lower professional","Number","146"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Employers & managers","Number","58"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Own account workers","Number","27"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Non-manual","Number","347"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Manual skilled","Number","165"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Semi-skilled","Number","165"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Unskilled","Number","189"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","Unspecified","Number","1117"
"Psychiatric In-patients (Number)","2013","Total psychiatric hospitals","All socio-economic groups","Number","2401"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Farmers","Number","22"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Agricultural workers","Number","2"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Higher professional","Number","14"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Lower professional","Number","44"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Employers & managers","Number","29"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Own account workers","Number","7"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Non-manual","Number","133"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Manual skilled","Number","61"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Semi-skilled","Number","62"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Unskilled","Number","68"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","Unspecified","Number","276"
"Psychiatric In-patients (Number)","2013","General hospital psychiatric units","All socio-economic groups","Number","718"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Farmers","Number","55"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Agricultural workers","Number","15"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Higher professional","Number","7"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Lower professional","Number","27"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Employers & managers","Number","4"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Own account workers","Number","7"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Non-manual","Number","71"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Manual skilled","Number","62"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Semi-skilled","Number","69"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Unskilled","Number","91"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","Unspecified","Number","442"
"Psychiatric In-patients (Number)","2013","Psychiatric hospitals/continuing care units","All socio-economic groups","Number","850"
"Psychiatric In-patients (Number)","2013","Private hospitals","Farmers","Number","12"
"Psychiatric In-patients (Number)","2013","Private hospitals","Agricultural workers","Number","3"
"Psychiatric In-patients (Number)","2013","Private hospitals","Higher professional","Number","45"
"Psychiatric In-patients (Number)","2013","Private hospitals","Lower professional","Number","73"
"Psychiatric In-patients (Number)","2013","Private hospitals","Employers & managers","Number","25"
"Psychiatric In-patients (Number)","2013","Private hospitals","Own account workers","Number","13"
"Psychiatric In-patients (Number)","2013","Private hospitals","Non-manual","Number","120"
"Psychiatric In-patients (Number)","2013","Private hospitals","Manual skilled","Number","38"
"Psychiatric In-patients (Number)","2013","Private hospitals","Semi-skilled","Number","18"
"Psychiatric In-patients (Number)","2013","Private hospitals","Unskilled","Number","16"
"Psychiatric In-patients (Number)","2013","Private hospitals","Unspecified","Number","211"
"Psychiatric In-patients (Number)","2013","Private hospitals","All socio-economic groups","Number","574"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Farmers","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Higher professional","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Lower professional","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Non-manual","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Semi-skilled","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Unskilled","Number","0"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","Unspecified","Number","97"
"Psychiatric In-patients (Number)","2016","Central Mental Hospital, Dublin","All socio-economic groups","Number","97"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Farmers","Number","2"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Higher professional","Number","1"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Lower professional","Number","1"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Non-manual","Number","8"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Manual skilled","Number","2"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Semi-skilled","Number","0"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Unskilled","Number","1"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","Unspecified","Number","88"
"Psychiatric In-patients (Number)","2016","St Joseph's Intellectual Disability Service","All socio-economic groups","Number","103"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Farmers","Number","3"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Higher professional","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Lower professional","Number","1"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Own account workers","Number","1"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Non-manual","Number","6"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Manual skilled","Number","3"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Semi-skilled","Number","1"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Unskilled","Number","5"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","Unspecified","Number","0"
"Psychiatric In-patients (Number)","2016","Carraig Mór, Cork","All socio-economic groups","Number","20"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Farmers","Number","86"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Agricultural workers","Number","15"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Higher professional","Number","74"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Lower professional","Number","177"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Employers & managers","Number","58"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Own account workers","Number","18"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Non-manual","Number","282"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Manual skilled","Number","146"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Semi-skilled","Number","149"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Unskilled","Number","163"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","Unspecified","Number","1240"
"Psychiatric In-patients (Number)","2016","Total psychiatric hospitals","All socio-economic groups","Number","2408"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Farmers","Number","20"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Agricultural workers","Number","1"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Higher professional","Number","14"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Lower professional","Number","48"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Employers & managers","Number","10"
