"Statistic Label","Year","Detailed Marital Status","Type of Hospital","UNIT","VALUE"
"Psychiatric In-patients (Number)","2013","All marital status","Central Mental Hospital, Dublin","Number","93"
"Psychiatric In-patients (Number)","2013","All marital status","St Joseph's Intellectual Disability Service","Number","130"
"Psychiatric In-patients (Number)","2013","All marital status","Carraig Mór, Cork","Number","36"
"Psychiatric In-patients (Number)","2013","All marital status","Total psychiatric hospitals","Number","2401"
"Psychiatric In-patients (Number)","2013","All marital status","General hospital psychiatric units","Number","718"
"Psychiatric In-patients (Number)","2013","All marital status","Psychiatric hospitals/continuing care units","Number","850"
"Psychiatric In-patients (Number)","2013","All marital status","Private hospitals","Number","574"
"Psychiatric In-patients (Number)","2013","Single","Central Mental Hospital, Dublin","Number","0"
"Psychiatric In-patients (Number)","2013","Single","St Joseph's Intellectual Disability Service","Number","127"
"Psychiatric In-patients (Number)","2013","Single","Carraig Mór, Cork","Number","29"
"Psychiatric In-patients (Number)","2013","Single","Total psychiatric hospitals","Number","1419"
"Psychiatric In-patients (Number)","2013","Single","General hospital psychiatric units","Number","452"
"Psychiatric In-patients (Number)","2013","Single","Psychiatric hospitals/continuing care units","Number","566"
"Psychiatric In-patients (Number)","2013","Single","Private hospitals","Number","245"
"Psychiatric In-patients (Number)","2013","Married","Central Mental Hospital, Dublin","Number","0"
"Psychiatric In-patients (Number)","2013","Married","St Joseph's Intellectual Disability Service","Number","0"
"Psychiatric In-patients (Number)","2013","Married","Carraig Mór, Cork","Number","1"
"Psychiatric In-patients (Number)","2013","Married","Total psychiatric hospitals","Number","494"
"Psychiatric In-patients (Number)","2013","Married","General hospital psychiatric units","Number","146"
"Psychiatric In-patients (Number)","2013","Married","Psychiatric hospitals/continuing care units","Number","142"
"Psychiatric In-patients (Number)","2013","Married","Private hospitals","Number","205"
"Psychiatric In-patients (Number)","2013","Divorced","Central Mental Hospital, Dublin","Number","0"
