"Statistic Label","Year","Sex","Type of Hospital","UNIT","VALUE"
"Psychiatric In-patients (Number)","2013","Both sexes","Central Mental Hospital, Dublin","Number","93"
"Psychiatric In-patients (Number)","2013","Both sexes","St Joseph's Intellectual Disability Service","Number","130"
"Psychiatric In-patients (Number)","2013","Both sexes","Carraig Mór, Cork","Number","36"
"Psychiatric In-patients (Number)","2013","Both sexes","Total psychiatric hospitals","Number","2401"
"Psychiatric In-patients (Number)","2013","Both sexes","General hospital psychiatric units","Number","718"
"Psychiatric In-patients (Number)","2013","Both sexes","Psychiatric hospitals/continuing care units","Number","850"
"Psychiatric In-patients (Number)","2013","Both sexes","Private hospitals","Number","574"
"Psychiatric In-patients (Number)","2013","Male","Central Mental Hospital, Dublin","Number","84"
"Psychiatric In-patients (Number)","2013","Male","St Joseph's Intellectual Disability Service","Number","88"
"Psychiatric In-patients (Number)","2013","Male","Carraig Mór, Cork","Number","25"
"Psychiatric In-patients (Number)","2013","Male","Total psychiatric hospitals","Number","1325"
"Psychiatric In-patients (Number)","2013","Male","General hospital psychiatric units","Number","380"
"Psychiatric In-patients (Number)","2013","Male","Psychiatric hospitals/continuing care units","Number","513"
"Psychiatric In-patients (Number)","2013","Male","Private hospitals","Number","235"
"Psychiatric In-patients (Number)","2013","Female","Central Mental Hospital, Dublin","Number","9"
"Psychiatric In-patients (Number)","2013","Female","St Joseph's Intellectual Disability Service","Number","42"
"Psychiatric In-patients (Number)","2013","Female","Carraig Mór, Cork","Number","11"
"Psychiatric In-patients (Number)","2013","Female","Total psychiatric hospitals","Number","1076"
"Psychiatric In-patients (Number)","2013","Female","General hospital psychiatric units","Number","338"
"Psychiatric In-patients (Number)","2013","Female","Psychiatric hospitals/continuing care units","Number","337"
"Psychiatric In-patients (Number)","2013","Female","Private hospitals","Number","339"
"Psychiatric In-patients (Number)","2016","Both sexes","Central Mental Hospital, Dublin","Number","97"
"Psychiatric In-patients (Number)","2016","Both sexes","St Joseph's Intellectual Disability Service","Number","103"
"Psychiatric In-patients (Number)","2016","Both sexes","Carraig Mór, Cork","Number","20"
"Psychiatric In-patients (Number)","2016","Both sexes","Total psychiatric hospitals","Number","2408"
"Psychiatric In-patients (Number)","2016","Both sexes","General hospital psychiatric units","Number","793"
"Psychiatric In-patients (Number)","2016","Both sexes","Psychiatric hospitals/continuing care units","Number","773"
"Psychiatric In-patients (Number)","2016","Both sexes","Private hospitals","Number","622"
"Psychiatric In-patients (Number)","2016","Male","Central Mental Hospital, Dublin","Number","87"
"Psychiatric In-patients (Number)","2016","Male","St Joseph's Intellectual Disability Service","Number","66"
"Psychiatric In-patients (Number)","2016","Male","Carraig Mór, Cork","Number","11"
"Psychiatric In-patients (Number)","2016","Male","Total psychiatric hospitals","Number","1294"
"Psychiatric In-patients (Number)","2016","Male","General hospital psychiatric units","Number","429"
"Psychiatric In-patients (Number)","2016","Male","Psychiatric hospitals/continuing care units","Number","433"
"Psychiatric In-patients (Number)","2016","Male","Private hospitals","Number","268"
"Psychiatric In-patients (Number)","2016","Female","Central Mental Hospital, Dublin","Number","10"
"Psychiatric In-patients (Number)","2016","Female","St Joseph's Intellectual Disability Service","Number","37"
"Psychiatric In-patients (Number)","2016","Female","Carraig Mór, Cork","Number","9"
"Psychiatric In-patients (Number)","2016","Female","Total psychiatric hospitals","Number","1114"
"Psychiatric In-patients (Number)","2016","Female","General hospital psychiatric units","Number","364"
